date,open,close,high,low,volume,turnover,amp,change_ratio,change,turnover_ratio
2021-04-12,25.92,27.60,33.00,25.92,89882,521154224.00,44.42,73.15,11.66,70.83
2021-04-13,26.31,23.58,26.82,23.23,49823,251009404.00,13.01,-14.57,-4.02,39.26
2021-04-14,23.16,22.79,24.18,22.68,26879,128607872.00,6.36,-3.35,-0.79,21.18
2021-04-15,23.10,22.28,23.37,22.25,17206,80394067.00,4.91,-2.24,-0.51,13.56
2021-04-16,22.35,22.14,22.60,21.25,30923,139213419.00,6.06,-0.63,-0.14,24.37
2021-04-19,21.93,22.74,23.18,21.71,26221,121727430.00,6.64,2.71,0.60,20.66
2021-04-20,22.74,21.78,22.97,21.78,21977,101121292.00,5.23,-4.22,-0.96,17.32
2021-04-21,21.44,21.01,21.72,20.99,17716,77723322.00,3.35,-3.54,-0.77,13.96
2021-04-22,21.13,21.85,21.99,21.03,15563,69258131.00,4.57,4.00,0.84,12.26
2021-04-23,21.73,21.56,22.13,21.54,11193,50296582.00,2.70,-1.33,-0.29,8.82
2021-04-26,21.38,21.19,21.73,21.10,10038,43996258.00,2.92,-1.72,-0.37,7.91
2021-04-27,21.28,21.01,21.57,20.93,9351,40880315.00,3.02,-0.85,-0.18,7.37
2021-04-28,21.01,21.26,21.32,20.60,9459,40846814.00,3.43,1.19,0.25,7.45
2021-04-29,20.81,19.13,20.82,18.94,25601,103909904.00,8.84,-10.02,-2.13,20.17
2021-04-30,19.21,18.49,19.43,18.49,10015,39292946.00,4.91,-3.35,-0.64,7.89
2021-05-06,18.67,18.67,18.99,18.48,5005,19448003.00,2.76,0.97,0.18,3.94
2021-05-07,18.71,18.12,18.75,18.06,8152,31020928.00,3.70,-2.95,-0.55,6.42
2021-05-10,18.06,18.06,18.26,17.91,4471,16798733.00,1.93,-0.33,-0.06,3.52
2021-05-11,17.98,18.37,18.37,17.92,4773,18098450.00,2.49,1.72,0.31,3.76
2021-05-12,18.46,18.67,18.77,18.22,6024,23112724.00,2.99,1.63,0.30,4.75
2021-05-13,18.44,18.42,18.66,18.37,3283,12622608.00,1.55,-1.34,-0.25,2.59
2021-05-14,18.47,18.74,18.91,18.37,5317,20737231.00,2.93,1.74,0.32,4.19
2021-05-17,18.85,18.83,19.26,18.70,5398,21299322.00,2.99,0.48,0.09,4.25
2021-05-18,18.83,18.86,18.92,18.63,4210,16455231.00,1.54,0.16,0.03,3.32
2021-05-19,18.88,18.45,18.93,18.42,5227,20190580.00,2.70,-2.17,-0.41,4.12
2021-05-20,18.36,18.30,18.46,18.18,4557,17329861.00,1.52,-0.81,-0.15,3.59
2021-05-21,18.61,18.25,18.61,18.20,2413,9179046.00,2.24,-0.27,-0.05,1.90
2021-05-24,18.27,18.26,18.36,18.12,2685,10179545.00,1.32,0.05,0.01,2.12
2021-05-25,18.31,18.38,18.52,18.16,3055,11639813.00,1.97,0.66,0.12,2.41
2021-05-26,18.31,18.52,18.62,18.28,5327,20483664.00,1.85,0.76,0.14,4.20
2021-05-27,18.49,18.81,19.00,18.49,6869,26886356.00,2.75,1.57,0.29,5.41
2021-05-28,18.82,18.52,18.93,18.42,4706,18221172.00,2.71,-1.54,-0.29,3.71
2021-05-31,18.52,18.80,18.87,18.52,5052,19637965.00,1.89,1.51,0.28,3.98
2021-06-01,18.83,19.59,19.89,18.83,12350,50140227.00,5.64,4.20,0.79,9.73
2021-06-02,19.60,21.17,21.21,19.60,24815,105606266.00,8.22,8.07,1.58,19.55
2021-06-03,20.82,21.28,21.62,20.41,19785,85568255.00,5.72,0.52,0.11,15.59
2021-06-04,21.57,22.60,23.52,21.13,31027,143717896.00,11.23,6.20,1.32,24.45
2021-06-07,22.11,21.54,22.11,21.08,18854,83991592.00,4.56,-4.69,-1.06,14.86
2021-06-08,21.63,20.70,21.80,20.28,16191,69841641.00,7.06,-3.90,-0.84,12.76
