date,open,close,high,low,volume,turnover,amp,change_ratio,change,turnover_ratio
2021-08-16,179.43,185.71,200.14,179.43,227265,6044076032.00,38.26,243.08,131.58,71.07
2021-08-17,185.07,176.42,185.07,170.86,69848,1746636608.00,7.65,-5.00,-9.29,21.84
2021-08-18,174.43,180.85,181.04,167.66,43857,1082573664.00,7.58,2.51,4.43,13.72
2021-08-19,178.00,187.30,197.18,177.64,44188,1189730592.00,10.80,3.57,6.45,13.82
2021-08-20,185.14,192.29,197.71,178.07,35443,950532320.00,10.49,2.66,4.99,11.08
2021-08-23,192.29,188.36,194.29,183.86,27531,728225280.00,5.42,-2.04,-3.93,8.61
2021-08-24,185.16,189.43,196.57,179.57,23985,640372864.00,9.03,0.57,1.07,7.50
2021-08-25,187.36,180.14,190.69,180.14,18878,487210192.00,5.57,-4.90,-9.29,5.90
2021-08-26,180.86,173.71,183.83,173.71,15049,376172512.00,5.62,-3.57,-6.43,4.71
2021-08-27,171.57,169.43,176.93,167.64,16053,385800560.00,5.35,-2.46,-4.28,5.02
2021-08-30,167.96,169.40,172.52,161.78,16524,387871232.00,6.34,-0.02,-0.03,5.17
2021-08-31,167.29,165.16,169.84,161.64,14138,329020224.00,4.84,-2.50,-4.24,4.42
2021-09-01,166.89,158.79,166.89,156.55,18674,420401840.00,6.26,-3.86,-6.37,5.84
2021-09-02,156.10,161.46,171.93,156.10,15838,368910704.00,9.97,1.68,2.67,4.95
2021-09-03,161.55,167.28,169.71,157.49,11896,275065344.00,7.57,3.60,5.82,3.72
2021-09-06,165.86,166.14,171.56,164.66,9631,226699477.00,4.12,-0.68,-1.14,3.01
2021-09-07,168.86,166.57,169.43,162.46,5924,137568507.00,4.20,0.26,0.43,1.85
2021-09-08,166.00,168.73,170.21,162.64,7845,183317446.00,4.54,1.30,2.16,2.45
2021-09-09,165.86,171.57,173.82,165.86,7641,183735678.00,4.72,1.68,2.84,2.39
2021-09-10,171.92,172.28,175.06,169.11,11854,286508656.00,3.47,0.41,0.71,3.71
2021-09-13,170.71,167.29,172.79,161.93,12840,302277280.00,6.30,-2.90,-4.99,4.02
2021-09-14,166.58,170.21,170.49,164.57,5108,121213730.00,3.54,1.75,2.92,1.60
2021-09-15,170.27,166.15,172.29,166.07,4210,99524806.00,3.65,-2.39,-4.06,1.32
2021-09-16,165.15,161.59,169.01,161.57,5174,120219907.00,4.48,-2.74,-4.56,1.62
2021-09-17,162.99,161.55,164.46,155.86,5168,115956449.00,5.32,-0.02,-0.04,1.62
2021-09-22,158.71,166.57,167.29,158.01,4209,96423151.00,5.74,3.11,5.02,1.32
2021-09-23,166.64,171.09,172.14,164.08,5033,119585342.00,4.84,2.71,4.52,1.57
2021-09-24,170.14,168.29,172.93,167.91,2847,67886844.00,2.93,-1.64,-2.80,0.89
2021-09-27,168.22,172.29,174.53,168.22,4680,113239525.00,3.75,2.38,4.00,1.46
2021-09-28,175.14,168.79,175.14,165.55,5002,118889114.00,5.57,-2.03,-3.50,1.56
2021-09-29,168.00,162.49,168.57,162.29,4209,97491658.00,3.72,-3.73,-6.30,1.32
2021-09-30,162.49,163.73,165.62,162.49,2777,63973028.00,1.93,0.76,1.24,0.87
2021-10-08,170.79,160.37,170.79,158.80,2912,66710348.00,7.32,-2.05,-3.36,0.91
2021-10-11,159.11,161.91,165.18,159.11,3030,69345905.00,3.78,0.96,1.54,0.95
2021-10-12,160.85,160.36,165.86,155.93,4731,105802011.00,6.13,-0.96,-1.55,1.48
2021-10-13,158.71,160.51,160.86,157.57,3411,76075229.00,2.05,0.09,0.15,1.07
2021-10-14,163.36,160.44,163.36,158.39,2942,66233172.00,3.10,-0.04,-0.07,0.92
2021-10-15,159.57,163.26,164.97,158.00,4202,95419293.00,4.34,1.76,2.82,1.31
2021-10-18,164.43,165.08,168.59,161.65,3446,80066315.00,4.25,1.11,1.82,1.08
2021-10-19,164.44,163.41,165.86,162.44,1576,36262528.00,2.07,-1.01,-1.67,0.49
2021-10-20,166.57,169.43,171.49,163.47,3927,92494182.00,4.91,3.68,6.02,1.23
2021-10-21,169.34,163.71,169.43,163.71,1910,44463797.00,3.38,-3.38,-5.72,0.60
2021-10-22,163.70,161.42,165.76,160.88,2050,46984259.00,2.98,-1.40,-2.29,0.64
2021-10-25,158.71,161.57,162.20,158.45,2567,57990861.00,2.32,0.09,0.15,0.80
2021-10-26,160.37,161.50,163.93,159.43,2639,59965799.00,2.79,-0.04,-0.07,0.83
2021-10-27,160.86,149.43,161.57,136.54,19300,392948080.00,15.50,-7.47,-12.07,6.04
2021-10-28,148.78,145.14,148.98,138.71,10826,219330343.00,6.87,-2.87,-4.29,3.39
2021-10-29,146.40,152.29,152.67,142.76,4171,87975436.00,6.83,4.93,7.15,1.30
2021-11-01,147.94,151.29,161.44,147.94,6044,130597061.00,8.86,-0.66,-1.00,1.89
2021-11-02,152.29,149.64,155.70,148.93,3785,81019156.00,4.47,-1.09,-1.65,1.18
2021-11-03,151.57,161.06,163.69,148.24,7032,155132670.00,10.32,7.63,11.42,2.20
2021-11-04,160.99,169.57,171.01,160.99,7522,177918840.00,6.22,5.28,8.51,2.35
2021-11-05,170.86,170.14,173.55,168.16,3900,93746266.00,3.18,0.34,0.57,1.22
2021-11-08,170.88,168.95,173.34,167.59,2147,51035465.00,3.38,-0.70,-1.19,0.67
2021-11-09,167.29,173.68,174.75,166.70,3718,90066347.00,4.76,2.80,4.73,1.16
2021-11-10,173.81,174.13,178.07,170.86,3519,86259178.00,4.15,0.26,0.45,1.10
2021-11-11,172.70,179.64,184.34,171.99,4903,123360285.00,7.09,3.16,5.51,1.53
2021-11-12,178.00,184.44,185.26,176.64,4839,123277077.00,4.80,2.67,4.80,1.51
2021-11-15,184.44,174.43,186.56,170.63,6507,160756240.00,8.64,-5.43,-10.01,2.03
2021-11-16,178.00,172.21,178.00,170.93,2634,64399458.00,4.05,-1.27,-2.22,0.82
2021-11-17,173.00,170.14,173.71,168.71,3807,90984145.00,2.90,-1.20,-2.07,1.19
2021-11-18,170.14,164.43,174.35,164.16,6558,154144059.00,5.99,-3.36,-5.71,2.05
2021-11-19,165.54,162.29,167.06,161.21,5009,114888905.00,3.56,-1.30,-2.14,1.57
2021-11-22,163.64,168.91,170.50,161.06,5498,129235939.00,5.82,4.08,6.62,1.72
2021-11-23,168.24,170.13,173.40,163.71,5881,139398572.00,5.74,0.72,1.22,1.84
2021-11-24,170.00,164.96,171.21,164.95,5008,117571089.00,3.68,-3.04,-5.17,1.57
2021-11-25,164.96,164.71,168.26,163.14,4118,95400389.00,3.10,-0.15,-0.25,1.29
2021-11-26,164.43,160.08,165.15,159.29,3493,79218163.00,3.56,-2.81,-4.63,1.09
