date,open,close,high,low,volume,turnover,amp,change_ratio,change,turnover_ratio
2023-07-19,70.00,70.34,74.01,62.01,85073,572723388.00,16.36,-4.08,-2.99,62.92
2023-07-20,71.00,70.10,71.93,66.30,57264,396058966.00,8.00,-0.34,-0.24,42.35
2023-07-21,70.18,64.82,70.19,64.44,39940,264330132.00,8.20,-7.53,-5.28,29.54
2023-07-24,63.02,69.20,70.30,62.20,44771,298521972.00,12.50,6.76,4.38,33.11
2023-07-25,71.25,69.22,71.59,68.10,24186,168177817.00,5.04,0.03,0.02,17.89
2023-07-26,67.60,68.88,70.30,66.90,18820,128980310.00,4.91,-0.49,-0.34,13.92
2023-07-27,68.11,67.16,68.99,66.45,12756,86338504.00,3.69,-2.50,-1.72,9.43
2023-07-28,67.88,64.95,67.88,64.87,10362,68003515.00,4.48,-3.29,-2.21,7.66
2023-07-31,64.51,63.55,65.00,63.20,10206,65093422.00,2.77,-2.16,-1.40,7.55
2023-08-01,63.56,63.77,65.28,63.28,5276,33769171.00,3.15,0.35,0.22,3.90
2023-08-02,63.50,64.19,65.23,62.49,9107,58002247.00,4.30,0.66,0.42,6.74
2023-08-03,64.06,63.89,65.19,63.20,5439,35028731.00,3.10,-0.47,-0.30,4.02
2023-08-04,63.89,67.00,69.85,63.56,14118,94592862.00,9.85,4.87,3.11,10.44
2023-08-07,67.77,65.13,67.77,65.05,5800,38250561.00,4.06,-2.79,-1.87,4.29
2023-08-08,65.20,65.26,66.28,64.91,3102,20340116.00,2.10,0.20,0.13,2.29
2023-08-09,65.01,64.36,65.63,63.40,3940,25276723.00,3.42,-1.38,-0.90,2.91
2023-08-10,64.19,64.68,66.25,63.96,4219,27464004.00,3.56,0.50,0.32,3.12
2023-08-11,64.71,63.62,65.52,63.38,5530,35453577.00,3.31,-1.64,-1.06,4.09
2023-08-14,63.00,66.29,66.60,63.00,7448,48487899.00,5.66,4.20,2.67,5.51
2023-08-15,66.63,63.92,67.46,63.31,7277,47037129.00,6.26,-3.58,-2.37,5.38
2023-08-16,63.93,61.47,64.08,61.06,7305,45589423.00,4.72,-3.83,-2.45,5.40
2023-08-17,61.08,61.75,61.80,59.99,4938,30060763.00,2.94,0.46,0.28,3.65
2023-08-18,63.93,64.17,69.55,63.85,16940,112377115.00,9.23,3.92,2.42,12.53
2023-08-21,62.25,62.35,64.37,61.68,8602,53834722.00,4.19,-2.84,-1.82,6.36
