date,open,close,high,low,volume,turnover,amp,change_ratio,change,turnover_ratio
2017-02-09,11.03,13.34,13.34,11.03,243,654530.00,25.36,46.43,4.23,0.05
2017-02-10,14.72,14.72,14.72,14.72,131,390796.00,0.00,10.34,1.38,0.02
2017-02-13,16.24,16.24,16.24,16.24,195,640380.00,0.00,10.33,1.52,0.04
2017-02-14,17.92,17.92,17.92,17.92,293,1056582.00,0.00,10.34,1.68,0.06
2017-02-15,19.76,19.76,19.76,19.76,653,2595601.00,0.00,10.27,1.84,0.12
2017-02-16,21.79,21.79,21.79,21.79,870,3800458.00,0.00,10.27,2.03,0.17
2017-02-17,24.02,24.02,24.02,21.79,248642,1180239392.00,10.23,10.23,2.23,47.21
2017-02-20,23.57,21.70,23.62,21.56,187164,836072976.00,8.58,-9.66,-2.32,35.54
2017-02-21,21.07,22.07,22.90,20.92,130847,582077680.00,9.12,1.71,0.37,24.84
2017-02-22,21.88,22.08,22.69,21.36,104820,461473840.00,6.03,0.05,0.01,19.90
2017-02-23,21.94,23.51,24.27,21.79,190409,884772496.00,11.23,6.48,1.43,36.15
2017-02-24,23.16,22.90,23.46,22.66,116812,539030128.00,3.40,-2.59,-0.61,22.18
2017-02-27,22.70,23.02,23.30,22.70,80470,370313248.00,2.62,0.52,0.12,15.28
2017-02-28,22.82,23.09,23.20,22.21,92896,422618576.00,4.30,0.30,0.07,17.64
2017-03-01,23.01,23.10,23.88,22.86,89035,415055696.00,4.42,0.04,0.01,16.91
2017-03-02,23.11,23.58,23.86,22.70,122005,570335264.00,5.02,2.08,0.48,23.17
2017-03-03,23.34,23.29,23.59,22.86,76254,355542224.00,3.10,-1.23,-0.29,14.48
2017-03-06,23.01,24.37,24.74,23.01,134404,645638096.00,7.43,4.64,1.08,25.52
2017-03-07,24.28,24.48,25.12,23.83,118373,579673184.00,5.29,0.45,0.11,22.48
2017-03-08,24.46,24.08,24.46,23.88,75231,363450400.00,2.37,-1.63,-0.40,14.28
2017-03-09,23.98,22.67,23.98,22.65,100177,464092288.00,5.52,-5.86,-1.41,19.02
2017-03-10,22.62,22.48,22.85,22.36,54612,246981073.00,2.16,-0.84,-0.19,10.37
2017-03-13,22.48,22.80,22.89,21.79,56131,251302920.00,4.89,1.42,0.32,10.66
2017-03-14,22.70,23.06,23.46,22.68,70573,327432208.00,3.42,1.14,0.26,13.40
2017-03-15,23.06,23.08,23.29,22.48,51569,237445797.00,3.51,0.09,0.02,9.79
2017-03-16,23.01,25.00,25.41,23.01,157645,772756304.00,10.40,8.32,1.92,29.93
2017-03-17,24.74,23.65,24.90,23.63,135259,655875680.00,5.08,-5.40,-1.35,25.68
2017-03-20,23.37,24.18,24.22,23.30,73325,350124208.00,3.89,2.24,0.53,13.92
2017-03-21,24.06,24.43,24.46,23.72,82978,401673248.00,3.06,1.03,0.25,15.76
2017-03-22,24.14,24.98,25.15,24.02,116627,576383088.00,4.63,2.25,0.55,22.14
2017-03-23,24.95,25.32,25.98,24.55,147168,741834064.00,5.72,1.36,0.34,27.94
2017-03-24,25.18,27.90,27.90,25.18,175549,959731952.00,10.74,10.19,2.58,33.33
2017-03-27,28.57,28.05,29.25,27.18,159287,893589280.00,7.42,0.54,0.15,30.24
2017-03-28,27.55,28.92,29.68,27.45,149798,862429568.00,7.95,3.10,0.87,28.44
2017-03-29,28.42,29.05,30.61,28.42,138560,816607072.00,7.57,0.45,0.13,26.31
2017-03-30,28.48,26.75,28.88,26.13,110540,608515040.00,9.47,-7.92,-2.30,20.99
2017-03-31,27.04,29.47,29.47,27.04,118536,678100144.00,9.08,10.17,2.72,22.51
2017-04-05,29.18,31.06,31.46,28.57,111374,664276464.00,9.81,5.40,1.59,21.15
2017-04-06,31.12,30.11,31.38,29.80,70623,428149344.00,5.09,-3.06,-0.95,13.41
2017-04-07,30.20,29.48,30.85,29.08,55382,328803136.00,5.88,-2.09,-0.63,10.52
2017-04-10,28.98,27.60,29.34,27.11,65304,366789584.00,7.56,-6.38,-1.88,12.40
