date,open,close,high,low,volume,turnover,amp,change_ratio,change,turnover_ratio
2021-04-21,18.67,18.15,21.63,17.87,132695,583769616.00,32.47,56.74,6.57,70.00
2021-04-22,17.16,17.22,18.39,16.50,71405,278818048.00,10.41,-5.12,-0.93,37.67
2021-04-23,17.53,18.76,19.98,17.47,71099,302752608.00,14.58,8.94,1.54,37.51
2021-04-26,18.35,18.77,19.84,18.33,55886,238127819.00,8.05,0.05,0.01,29.48
2021-04-27,18.71,16.97,18.89,16.80,46328,182788683.00,11.13,-9.59,-1.80,24.44
2021-04-28,16.88,17.61,17.74,16.70,31349,123259820.00,6.13,3.77,0.64,16.54
2021-04-29,18.01,21.26,21.26,17.63,89103,400702048.00,20.61,20.73,3.65,47.01
2021-04-30,22.18,22.50,24.69,21.45,89745,458725248.00,15.24,5.83,1.24,47.34
2021-05-06,25.15,26.60,26.72,23.78,65446,368953760.00,13.07,18.22,4.10,34.53
2021-05-07,25.38,24.46,26.26,24.18,57526,327116976.00,7.82,-8.05,-2.14,30.35
2021-05-10,25.33,27.48,29.03,25.33,56740,338729616.00,15.13,12.35,3.02,29.93
2021-05-11,26.75,25.48,28.12,24.98,45568,271034080.00,11.43,-7.28,-2.00,24.04
2021-05-12,24.71,24.75,25.33,23.35,34844,192469857.00,7.77,-2.86,-0.73,18.38
2021-05-13,24.47,24.19,25.72,23.44,33820,186597499.00,9.21,-2.26,-0.56,17.84
2021-05-14,24.18,25.70,26.05,23.95,30747,172941808.00,8.68,6.24,1.51,16.22
2021-05-17,25.61,26.88,27.66,24.37,33115,193111904.00,12.80,4.59,1.18,17.47
2021-05-18,26.69,28.11,29.66,26.43,31246,199232737.00,12.02,4.58,1.23,16.48
2021-05-19,28.12,28.34,28.96,27.43,19803,125022484.00,5.44,0.82,0.23,10.45
2021-05-20,28.11,27.11,28.28,26.92,18394,113788455.00,4.80,-4.34,-1.23,9.70
2021-05-21,27.20,27.20,28.42,26.59,16014,97755062.00,6.75,0.33,0.09,8.45
2021-05-24,27.07,25.74,27.18,25.15,22169,129677448.00,7.46,-5.37,-1.46,11.70
2021-05-25,25.79,26.62,26.96,25.06,17522,103182995.00,7.38,3.42,0.88,9.24
2021-05-26,26.43,25.75,27.19,25.38,13712,80321039.00,6.80,-3.27,-0.87,7.23
2021-05-27,26.05,28.12,29.26,25.65,25568,158530371.00,14.02,9.20,2.37,13.49
2021-05-28,28.15,27.18,28.94,26.76,20679,128686997.00,7.75,-3.34,-0.94,10.91
2021-05-31,27.47,29.53,29.66,27.02,22291,142941790.00,9.71,8.65,2.35,11.76
2021-06-01,29.48,29.22,30.44,28.57,18591,121948634.00,6.33,-1.05,-0.31,9.81
2021-06-02,29.32,27.93,30.02,27.51,17620,112121439.00,8.59,-4.41,-1.29,9.30
2021-06-03,27.88,26.75,28.67,26.52,15270,94740814.00,7.70,-4.22,-1.18,8.06
2021-06-04,26.29,25.26,26.73,24.95,19950,114695382.00,6.65,-5.57,-1.49,10.52
2021-06-07,25.37,25.42,25.96,25.02,10706,61398857.00,3.72,0.63,0.16,5.65
2021-06-08,25.79,24.85,26.23,24.46,14173,80330490.00,6.96,-2.24,-0.57,7.48
2021-06-09,24.97,25.06,25.30,24.71,7048,39618964.00,2.37,0.85,0.21,3.72
2021-06-10,25.24,26.02,26.23,25.01,10712,62194707.00,4.87,3.83,0.96,5.65
2021-06-11,26.52,27.24,28.80,26.51,22761,141992380.00,8.80,4.69,1.22,12.01
2021-06-15,27.13,24.78,27.20,24.74,18429,105542338.00,9.03,-9.03,-2.46,9.72
2021-06-16,24.78,24.23,24.99,23.95,8832,48353802.00,4.20,-2.22,-0.55,4.66
2021-06-17,24.23,24.50,24.59,23.55,9218,49947869.00,4.29,1.11,0.27,4.86
2021-06-18,24.92,24.59,25.22,23.88,9613,53028966.00,5.47,0.37,0.09,5.07
2021-06-21,24.08,24.91,25.01,23.79,9520,52372330.00,4.96,1.30,0.32,5.02
2021-06-22,25.03,23.66,25.46,23.46,14239,77505470.00,8.03,-5.02,-1.25,7.51
2021-06-23,23.76,23.50,23.76,22.87,8872,46519050.00,3.76,-0.68,-0.16,4.68
2021-06-24,23.34,23.34,23.80,22.72,7997,41998894.00,4.60,-0.68,-0.16,4.22
